Residenza	MotivoIscrizioneEstero	Num
Territori Autonomia Palestinese	all'emigrazione	13
Territori Autonomia Palestinese	per nascita	7
Thailandia	all'emigrazione	189
Thailandia	per acquisto cittadinanza	9
Thailandia	per nascita	82
Thailandia	per residenza all'estero	19
Togo	all'emigrazione	5
Togo	per acquisto cittadinanza	1
Togo	per nascita	1
Tonga	all'emigrazione	1
Tonga	per acquisto cittadinanza	1
Tonga	per nascita	2
Trinidad e Tobago	all'emigrazione	3
Trinidad e Tobago	per nascita	9
Trinidad e Tobago	per residenza all'estero	2
Tunisia	all'emigrazione	84
Tunisia	per acquisto cittadinanza	12
Tunisia	per nascita	21
Tunisia	per residenza all'estero	16
Tunisia	trasferimento da AIRE	1
Turchia	all'emigrazione	137
Turchia	per acquisto cittadinanza	103
Turchia	per matrimonio	1
Turchia	per nascita	193
Turchia	per residenza all'estero	59
Turchia	trasferimento da AIRE	1
Turkmenistan	all'emigrazione	1
Ucraina	all'emigrazione	20
Ucraina	per nascita	15
Ucraina	per residenza all'estero	2
Uganda	all'emigrazione	7
Uganda	per nascita	4
Uganda	per residenza all'estero	1
Ungheria	all'emigrazione	60
Ungheria	per acquisto cittadinanza	1
Ungheria	per nascita	35
Ungheria	per residenza all'estero	14
Ungheria	trasferimento da AIRE	5
Uruguay	all'emigrazione	95
Uruguay	per acquisto cittadinanza	12
Uruguay	per matrimonio	3
Uruguay	per nascita	378
Uruguay	per residenza all'estero	63
Uruguay	trasferimento da AIRE	1
Venezuela	all'emigrazione	197
Venezuela	per acquisto cittadinanza	68
Venezuela	per nascita	385
Venezuela	per residenza all'estero	151
Venezuela	trasferimento da AIRE	3
Vietnam	all'emigrazione	25
Vietnam	per acquisto cittadinanza	4
Vietnam	per nascita	7
Vietnam	per residenza all'estero	1
Yemen	all'emigrazione	1
Zambia	all'emigrazione	11
Zambia	per acquisto cittadinanza	1
Zambia	per nascita	9
Zambia	per residenza all'estero	1
Zambia	trasferimento da AIRE	3
Zimbabwe (ex Rhodesia)	all'emigrazione	11
Zimbabwe (ex Rhodesia)	per acquisto cittadinanza	1
Zimbabwe (ex Rhodesia)	per nascita	10
Zimbabwe (ex Rhodesia)	trasferimento da AIRE	1
